?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000181>		
<http://purl.obolibrary.org/obo/FBbi_00000289>	"Multiple points of illumination generated by a fixed array of sources."	
<http://purl.obolibrary.org/obo/FBbi_00100006>	"A visualization method that detects a blue fluorescent protein tag."	
<http://purl.obolibrary.org/obo/FBbi_00000602>		
<http://purl.obolibrary.org/obo/FBbi_00000505>		
<http://purl.obolibrary.org/obo/FBbi_00000614>		
<http://purl.obolibrary.org/obo/FBbi_00000408>		
<http://purl.obolibrary.org/obo/FBbi_00000529>		
<http://purl.obolibrary.org/obo/FBbi_00000517>		
<http://purl.obolibrary.org/obo/FBbi_00001000>	"An imaging technique that uses high energy electromagnetic radiation, typically X-rays, as a source of illumination."	
<http://purl.obolibrary.org/obo/FBbi_00000583>	"Specimen from which water has been removed by evaporation under vacuum at a temperature below freezing."	
<http://purl.obolibrary.org/obo/FBbi_00000095>		
<http://purl.obolibrary.org/obo/FBbi_00000083>		
<http://purl.obolibrary.org/obo/FBbi_00000180>		
<http://purl.obolibrary.org/obo/FBbi_00000071>		
<http://purl.obolibrary.org/obo/FBbi_00000192>		
<http://purl.obolibrary.org/obo/BFO_0000003>	"An entity that has temporal parts and that happens, unfolds or develops through time."@en	
<http://purl.obolibrary.org/obo/FBbi_00000355>	"Computational method that are mathematically non-linear; image intensity is not conserved, and the data are in general not suitable for quantitative analyses of pixel values"	
<http://purl.obolibrary.org/obo/FBbi_00001004>	"An imaging technique that creates virtual sections through the use of any kind of penetrating wave."	
<http://purl.obolibrary.org/obo/FBbi_00000601>		
<http://purl.obolibrary.org/obo/FBbi_00000613>		
<http://purl.obolibrary.org/obo/FBbi_00000516>		
